Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,MLT-8530,C94599
"C1, C33, C34, C35, C37, C38, C39, C40, C53, C72",0603,10,1uF,C5199872
"C10, C24, C55, C58, C60, C61, C62, C63, C64, C68, C69, C70",0402,12,100nF,C1525
C12,0402,1,100pF,C1546
C13,0402,1,820pF,C1543
"C15, C18, C44, C66, C67, C8",0402,6,2.2uF,C12530
"C16, C17",0402,2,4.7uF,C23733
"C19, C57",0603,2,22uF,C59461
"C2, C6",0402,2,18pF,C1549
"C22, C41",0603,2,470nF,C1623
"C25, C73",0402,2,47nF,C82219
"C26, C29",0402,2,47pF,C472454
"C27, C28",0402,2,1nF,C1523
"C3, C4",0402,2,12pF,C1547
"C30, C50",0402,2,1.8pF,C22374861
C32,0603,1,4.7uF,C69335
"C42, C43",0402,2,68pF,C389103
C45,0402,1,3.3pF,C2941931
C47,0402,1,5.6pF,C16193755
C48,0402,1,39pF,C86288
C49,0402,1,2.2pF,C325452
C5,0402,1,.5pF,C1544
C51,0402,1,2.4pF,C48346
"C54, C56, C9",0603,3,10uF,C19702
C7,0402,1,.8pF,C285068
C74,0402,1,1uF,C52923
"D3, D5, D8",D_SOD-323,3,B0530WS,C22466873
"D4, D6, D7",D_SOD-323,3,1N5819WS,C191023
FPC1,FPC-SMD_24P-P0.50_GT-F0501SR10-24S1101,1,GT-F0501SR10-24S1101,C22380687
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB device,C165948
L1,L_Vishay_IFSC-1515AH_4x4x1.8mm,1,0.47uH A-sat 5.4 DCR 7.6 mOhm,C7497069
"L10, L2",0402,2,4.7nH,C86065
"L11, R17, R29, R3, R30, R31, R32, R4",0402,8,0,C17168
"L12, L14",0402,2,15nH,C381880
L3,0603,1,10uH,C1035
L5,0603,1,15uH,C486329
L6,0402,1,47nH,C27151
L7,0402,1,2.5nH,C778764
L8,0402,1,7.5nH,C98001
L9,1210,1,47uH,C83083
LED1,LED-ARRAY-SMD_4P-L1.6-W1.5-BR_XL-1615RGBC-RF,1,XL-1615RGBC-RF,C965840
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,JSM2301S,C916399
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AP2302B,C406812
Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,SI2302_C5296725,C5296725
"R1, R2",0402,2,5k1,C25905
"R10, R41, R47, R9",0402,4,100,C25076
R11,0805,1,2.2,C2907304
"R12, R5",0402,2,100k,C25741
"R14, R16, R24",0402,3,1k,C11702
R15,0402,1,47k,C25792
"R18, R19, R21, R22, R23, R26, R27, R28, R7",0402,9,10k,C25744
R20,0402,1,3.3k,C25890
"R25, R6, R8",0402,3,2k,C4109
"R34, R39, R40, R44",0402,4,1M,C26083
R35,0402,1,510k,C25564
"R42, R43",0402,2,4.7k,C25900
R45,0402,1,511k,C64042
R46,0402,1,91k,C4147
"RF1, RF3",IPEX-SMD_3P-L2.6-W2.6-LS3.0_RF1200001R,2,A-IPEX1-1.25A,C22467595
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,RESET,C318884
SW3,SW-SMD_MS-22D28-G020,1,MS-22D28-G020,C963205
SW4,SW-SMD_6P-L7.0-W7.0-P1.40-LS7.4-TL,1,7*7*5-6P WX,C2858286
"SW6, SW8",KEY-SMD_2P-L6.0-W6.0-P6.00,2,TS3425PA 160GF 098,C115348
U1,CONN-SMD_PH-2AWB,1,PH-2AWB,C20598817
U10,DSBGA-15_L2.3-W1.3-R5-C3-P0.40-TL,1,TPS63805YFFR,C2879615
U2,SOT-363-6_L2.0-W1.3-P0.65-LS2.1-BL,1,ZHHXDZ HXCKRF2179MM26-C4,C49010109
U3,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,SX1262IMLTRT,C191341
U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,XT4054K421MR-G,C141405
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,ZD25WQ16CTIGT,C5353550
U6,XCVR_NRF52840-QIAA-R,1,NRF52840-QIAA-R,C190794
"U7, U9",SOT-666,2,USBLC6-2P6,C22390016
U8,CONN-SMD_HCZZ0032-4,1,HCZZ0032-4,C7433425
"X1, X2",CRYSTAL-SMD_4P-L2.0-W1.6-BL,2,S201632M10PF10PPM 32MHz,C7420782
X3,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C95361
