Designator,Footprint,Quantity,Value,LCSC Part #
AE2,Texas_SWRA117D_2.4GHz_Left,1,Antenna,
"C10, C14, C24, C55, C57, C64, C68",0402,7,100nF,C1525
C12,0402,1,100pF,C1546
C13,0402,1,820pF,C1543
"C15, C16, C17, C18, C19, C44, C66, C67, C8",0402,9,2.2uF,C12530
"C2, C21, C23, C6",0402,4,10pF,C32949
"C22, C41",0603,2,470nF,C1623
"C25, C73",0402,2,47nF,C82219
"C26, C29",0402,2,47pF,C472454
"C27, C28",0402,2,1nF,C1523
"C3, C4",0402,2,10n,C1524
"C30, C31",0402,2,3.6pF,C52052
C32,0603,1,4.7uF,C69335
"C33, C34, C35, C36, C37, C38, C39, C40, C53, C72, C74",0603,11,1uF,C5199872
"C42, C43",0402,2,75pF,C37809
C45,0402,1,3pF,C41361091
C47,0402,1,5.6pF,C16193755
C48,0402,1,39pF,C86288
"C49, C50",0402,2,1.8pF,C22374861
C5,0402,1,.5pF,C1544
C51,0402,1,2.4pF,C48346
"C54, C56, C60, C61",0603,4,10uF,C19702
"C58, C62, C63",0805,3,22uF,C45783 
C7,0402,1,.8pF,C285068
D1,D_SOD-323,1,ESD prot.,C22363742
D2,D_SMA,1,B160_13F,C24784
"D23, D3, D4, D5",D_SOD-323,4,NSR0320MW2T1G,C48192
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB device,C165948
J2,FPC-SMD_FH12-24S-0.5SH-55,1,E-Paper,C202112
J9,CONN-SMD_S2B-ZR-SM4A,1,Battery,C265329
"L10, L2",0402,2,4.7nH,C963987
"L11, R20, R29, R30, R31, R32",0402,6,0,C17168
L12,0402,1,15nH,C381880
L14,0402,1,15nH,C27143
L3,0603,1,10uH,C194437
L4,IND-SMD_L6.0-W6.0,1,CMLW6028S1R5MST,C431354
L5,0603,1,15uH,C486329
L6,0402,1,47nH,C27151
L7,0402,1,2.5nH,C778764
L8,0402,1,8.2nH,C98003
L9,1210,1,47uH,C83083
LED1,LED-ARRAY-SMD_4P-L1.6-W1.5-BR_XL-1615RGBC-RF,1,XL-1615RGBC-RF,C965840
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,JSM2301S,C916399
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AP2302B,C406812
"R1, R2",0402,2,5k1,C25905
"R10, R9",0402,2,100,C25076
R11,0805,1,2.2,C2907304
"R12, R5",0402,2,100k,C25530
"R14, R16",0402,2,1k,C11702
"R15, R18, R19, R21, R22, R23, R26, R27, R28, R7",0402,10,10k,C25744
"R17, R33",0402,2,1M,C26083
R24,0402,1,180k,C2909325
"R25, R6, R8",0402,3,2k,C4109
"R3, R4",0402,2,33,C25105
"RF1, RF2, RF3",IPEX-SMD_3P-L2.6-W2.6-LS3.0_RF1200001R,3,A-IPEX1-1.25A,C22467595
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,TS-1187A-B-A-B,C318884
SW2,SW-SMD_3P-P1.50_L2.7-W6.6,1,SK-3296S-01-L1,C319020
SW3,SW-SMD_SKRHABE010,1,SKRHABE010,C139794
"SW6, SW8",KEY-SMD_2P-L6.0-W6.0-P6.00,2,TS3425PA 160GF 098,C115348
U2,SOT-363-6_L2.0-W1.3-P0.65-LS2.1-BL,1,TPE4259-63,C47117600
U3,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,SX1262IMLTRT,C191341
U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1,XT4054K421MR-G,C141405
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,ZD25WQ16CTIGT,C5353550
U6,XCVR_NRF52840-QIAA-R,1,NRF52840-QIAA-R,C190794
U7,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,1,TPS63020DSJR,C15483
"X1, X2",CRYSTAL-SMD_4P-L2.0-W1.6-BL,2,S201632M10PF10PPM,C7420782
X3,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C95361
